donor_id,name,email,phone,blood_group,city,lat,lon,last_donated,cooldown_complete,health_flag,ranking_score,blood_group_id
24,Donor 24,donor24@mail.com,+91-7985638976,B-,Bangalore,12.98422173801362,77.58034794698375,2024-09-20,True,Needs Checkup,2.31,4
25,Donor 25,donor25@mail.com,+91-9868343320,O-,Bangalore,12.970058241743391,77.60689596356984,2025-07-15,False,Needs Checkup,1.77,6
26,Donor 26,donor26@mail.com,+91-9294976571,AB-,Bangalore,12.952647050022344,77.58523879385795,2024-12-22,True,Needs Checkup,4.03,8
27,Donor 27,donor27@mail.com,+91-7684062860,B+,Bangalore,12.969879603771854,77.57449085798251,2024-12-03,True,Needs Checkup,4.97,3
28,Donor 28,donor28@mail.com,+91-7860989528,O+,Bangalore,12.968180501679182,77.6245852958592,2024-12-16,True,Good,2.76,5
29,Donor 29,donor29@mail.com,+91-7073658749,O-,Bangalore,12.944663824679926,77.59171881784614,2024-12-28,True,Good,1.41,6
30,Donor 30,donor30@mail.com,+91-7917105094,AB-,Bangalore,12.96034486620104,77.58759545714679,2024-11-16,True,Good,1.5,8
31,Donor 31,donor31@mail.com,+91-8193682497,B+,Bangalore,12.96406898190951,77.58534878565524,2025-05-20,False,Needs Checkup,1.59,3
32,Donor 32,donor32@mail.com,+91-8627705399,B-,Bangalore,12.987454548399857,77.6084865233365,2025-05-26,False,Good,4.95,4
33,Donor 33,donor33@mail.com,+91-9029645884,AB-,Bangalore,12.973888635697527,77.5961881827477,2024-08-17,True,Needs Checkup,4.39,8
34,Donor 34,donor34@mail.com,+91-8352264422,A-,Bangalore,12.97507094239917,77.59367033641664,2025-04-18,True,Needs Checkup,1.96,2
35,Donor 35,donor35@mail.com,+91-8312004693,B+,Bangalore,12.952161166633507,77.59084029988188,2024-10-10,True,Needs Checkup,1.57,3
36,Donor 36,donor36@mail.com,+91-9746924908,AB+,Bangalore,12.980631445244724,77.61520380178092,2024-09-30,True,Needs Checkup,4.15,7
37,Donor 37,donor37@mail.com,+91-8702645428,AB-,Bangalore,12.978261862678892,77.62986905659069,2025-03-11,True,Good,2.2,8
38,Donor 38,donor38@mail.com,+91-9194138835,B+,Bangalore,12.94519567758808,77.59735572998534,2024-10-26,True,Good,3.65,3
39,Donor 39,donor39@mail.com,+91-8358180222,A+,Bangalore,12.970314179498356,77.5931926740632,2024-09-28,True,Good,1.16,1
40,Donor 40,donor40@mail.com,+91-8572393556,B-,Bangalore,12.993417906731036,77.59249188254167,2025-02-04,True,Good,2.84,4
41,Donor 41,donor41@mail.com,+91-9462644653,B-,Bangalore,12.982128790515718,77.57968010241403,2025-02-22,True,Needs Checkup,4.49,4
42,Donor 42,donor42@mail.com,+91-7992335377,AB+,Bangalore,12.955077861487563,77.57873485413506,2024-07-13,True,Needs Checkup,3.07,7
43,Donor 43,donor43@mail.com,+91-9590910867,A-,Bangalore,12.97995427757226,77.59109973387262,2024-08-31,True,Needs Checkup,2.95,2
44,Donor 44,donor44@mail.com,+91-8448455383,AB+,Bangalore,12.97220342209901,77.57019036696906,2024-09-14,True,Needs Checkup,1.09,7
45,Donor 45,donor45@mail.com,+91-9978968668,A+,Bangalore,12.954840090264248,77.61491030433814,2025-06-18,False,Good,2.35,1
46,Donor 46,donor46@mail.com,+91-7872608185,A-,Bangalore,12.962936705062225,77.58542566020532,2024-07-21,True,Good,4.01,2
47,Donor 47,donor47@mail.com,+91-8987372575,O+,Bangalore,12.950523018359808,77.60962712711314,2025-05-22,False,Good,4.3,5
48,Donor 48,donor48@mail.com,+91-7314267083,A+,Bangalore,12.982181448452552,77.61314599422458,2025-04-18,True,Good,2.08,1
49,Donor 49,donor49@mail.com,+91-7531798399,O-,Bangalore,12.974660742305804,77.57771937244354,2025-07-14,False,Good,4.62,6
50,Donor 50,donor50@mail.com,+91-8232353645,B+,Bangalore,12.967406687301132,77.5937440666135,2025-07-21,False,Good,2.7,3
